2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main |   GTZAN Genre Classification — Full Pipeline
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main | Run directory: /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/runs/2026-05-01_00-19-47_svm
2026-05-01 00:19:47 | INFO     | main | Models selected: ['SVM (RBF)']
2026-05-01 00:19:47 | INFO     | main | Skipping EDA (--skip-eda)
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main |   Stage 2 — Feature Extraction (original tracks)
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main | Valid tracks: 999
2026-05-01 00:19:47 | INFO     | features | → extract_all_features started
2026-05-01 00:19:47 | INFO     | features | Cache hit: /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/cache/features.csv (use --force to recompute)
2026-05-01 00:19:47 | INFO     | features |   999 samples, 166 features
2026-05-01 00:19:47 | INFO     | features | ✓ extract_all_features finished in 0.0s
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main |   Stage 3 — Train/Test Split
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main | Training tracks (for augmentation): 799
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main |   Stage 4 — Augmented Feature Extraction
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | features | → extract_augmented_features started
2026-05-01 00:19:47 | INFO     | features | Cache hit: /home/keerthanss/Projects/CMPE257ML/final/scripts/outputs/cache/augmented_features.csv (use --force to recompute)
2026-05-01 00:19:47 | INFO     | features |   1598 augmented samples
2026-05-01 00:19:47 | INFO     | features | ✓ extract_augmented_features finished in 0.0s
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
2026-05-01 00:19:47 | INFO     | main |   Stage 5 — Cross-Validation & Grid Search
2026-05-01 00:19:47 | INFO     | main | ────────────────────────────────────────────────────────────
